name,price,unit_price,description,availability,regular_price,discounted_price,discount_percent,discount_type,discount_period,category,market,last_updated
НАРЕЗОК МЕСЕН,45,100 гр = 45.0,CАRNEX НАРЕЗОК,Да,45,,,,,Останато,KAM,2025-04-18
ШУНКА ЕКСТРА,42,100 гр = 35.0,MIK ШУНКА ЧАДЕНА,Да,42,,,,,Останато,KAM,2025-04-18
КОЛБАС ГОВ. УКА,42,100 гр = 16.8,UKA ГОВЕДСКИ,Да,42,,,,,Месо и месни производи,KAM,2025-04-18
СУЏУК БОС.,409,100 гр = 90.9,PODGORKA СУЏУК,Да,409,,,,,Останато,KAM,2025-04-18
ТУНА БЛУ СИ ЦЕЛА,68,100 гр = 52.3,BLUE SEA ТУНА,Да,68,,,,,Останато,KAM,2025-04-18
ТУНА БЛУ СИ,39,100 гр = 30.0,BLUE SEA ТУНА,Да,39,,,,,Останато,KAM,2025-04-18
НАРЕЗОК,43,100 гр = 28.7,PEKABESKO,Да,43,,,,,Останато,KAM,2025-04-18
СУЏУК СЛАЈС,169,100 гр = 84.5,ZLATIBORAC СУЏУК,Да,169,,,,,Останато,KAM,2025-04-18
ПАШТЕТА КОК.,44,100 гр = 46.3,ARGETA ПАШТЕТА,Да,44,,,,,Останато,KAM,2025-04-18
НАРЕЗОК,59,100 гр = 39.3,PEKABESKO,Да,59,,,,,Останато,KAM,2025-04-18
НАРЕЗОК МЕСЕН,55,100 гр = 36.7,PEKABESKO,Да,55,,,,,Останато,KAM,2025-04-18
ПАШТЕТА СВИНСКА,16,100 гр = 21.3,MIK ПАШТЕТА,Да,16,,,,,Останато,KAM,2025-04-18
ПРШУТА ГОВЕДСКА,149,100 гр = 186.3,PREMI ПРШУТА,Да,149,,,,,Месо и месни производи,KAM,2025-04-18
ПАШТЕТА ОД ТУНА,39,100 гр = 48.8,HAPPY TUNA,Да,39,,,,,Останато,KAM,2025-04-18
СУПА СВИСЛИОН,15,100 гр = 28.3,SWISSLION СУПА,Да,15,,,,,Останато,KAM,2025-04-18
СУПА СВИСЛИОН,17,100 гр = 27.4,SWISSLION СУПА,Да,17,,,,,Останато,KAM,2025-04-18
СУПА СВИСЛИОН,17,100 гр = 27.4,SWISSLION СУПА,Да,17,,,,,Останато,KAM,2025-04-18
